match_id,date,venue,team1,team2,winner,toss_winner,toss_decision,format,year
1000887,2017-01-13,"Brisbane Cricket Ground, Woolloongabba",Australia,Pakistan,Australia,Australia,bat,ODI,2017
1000889,2017-01-15,Melbourne Cricket Ground,Australia,Pakistan,Pakistan,Australia,bat,ODI,2017
1000891,2017-01-19,Western Australia Cricket Association Ground,Australia,Pakistan,Australia,Australia,field,ODI,2017
1000893,2017-01-22,Sydney Cricket Ground,Australia,Pakistan,Australia,Australia,bat,ODI,2017
1000895,2017-01-26,Adelaide Oval,Australia,Pakistan,Australia,Australia,bat,ODI,2017
1001371,2016-12-04,Sydney Cricket Ground,Australia,New Zealand,Australia,Australia,bat,ODI,2016
1001373,2016-12-06,Manuka Oval,Australia,New Zealand,Australia,New Zealand,field,ODI,2016
1001375,2016-12-09,Melbourne Cricket Ground,Australia,New Zealand,Australia,Australia,bat,ODI,2016
1004283,2016-09-08,"Grange Cricket Club Ground, Raeburn Place",Scotland,Hong Kong,,Hong Kong,field,ODI,2016
1004285,2016-09-10,"Grange Cricket Club Ground, Raeburn Place",Scotland,Hong Kong,Scotland,Scotland,bat,ODI,2016
1007649,2016-06-11,Harare Sports Club,Zimbabwe,India,India,India,field,ODI,2016
1007651,2016-06-13,Harare Sports Club,Zimbabwe,India,India,India,field,ODI,2016
1007653,2016-06-15,Harare Sports Club,Zimbabwe,India,India,Zimbabwe,bat,ODI,2016
1019973,2016-12-26,Hagley Oval,New Zealand,Bangladesh,New Zealand,New Zealand,bat,ODI,2016
1019975,2016-12-29,Saxton Oval,New Zealand,Bangladesh,New Zealand,Bangladesh,field,ODI,2016
1019977,2016-12-31,Saxton Oval,New Zealand,Bangladesh,New Zealand,Bangladesh,bat,ODI,2016
1020013,2017-01-30,Eden Park,New Zealand,Australia,New Zealand,Australia,field,ODI,2017
1020017,2017-02-05,Seddon Park,New Zealand,Australia,New Zealand,New Zealand,bat,ODI,2017
