match_id,date,venue,team1,team2,winner,toss_winner,toss_decision,format,year
1001349,2017-02-17,Melbourne Cricket Ground,Australia,Sri Lanka,Sri Lanka,Sri Lanka,field,T20,2017
1001351,2017-02-19,"Simonds Stadium, South Geelong",Australia,Sri Lanka,Sri Lanka,Sri Lanka,field,T20,2017
1001353,2017-02-22,Adelaide Oval,Australia,Sri Lanka,Australia,Sri Lanka,field,T20,2017
1004729,2016-09-05,"Bready Cricket Club, Magheramason",Ireland,Hong Kong,Hong Kong,Hong Kong,bat,T20,2016
1007655,2016-06-18,Harare Sports Club,Zimbabwe,India,Zimbabwe,India,field,T20,2016
1007657,2016-06-20,Harare Sports Club,Zimbabwe,India,India,Zimbabwe,bat,T20,2016
1007659,2016-06-22,Harare Sports Club,Zimbabwe,India,India,Zimbabwe,field,T20,2016
1019979,2017-01-03,McLean Park,New Zealand,Bangladesh,New Zealand,Bangladesh,bat,T20,2017
1019981,2017-01-06,Bay Oval,New Zealand,Bangladesh,New Zealand,Bangladesh,field,T20,2017
1019983,2017-01-08,Bay Oval,New Zealand,Bangladesh,New Zealand,Bangladesh,field,T20,2017
1020029,2017-02-17,Eden Park,New Zealand,South Africa,South Africa,New Zealand,field,T20,2017
1031431,2017-06-21,The Rose Bowl,England,South Africa,England,South Africa,bat,T20,2017
1031433,2017-06-23,County Ground,England,South Africa,South Africa,England,field,T20,2017
1031435,2017-06-25,Sophia Gardens,England,South Africa,England,South Africa,field,T20,2017
1031665,2017-09-16,Riverside Ground,West Indies,England,West Indies,England,field,T20,2017
1034825,2017-01-26,Green Park,India,England,England,England,field,T20,2017
1034827,2017-01-29,"Vidarbha Cricket Association Stadium, Jamtha",India,England,India,England,field,T20,2017
1034829,2017-02-01,M Chinnaswamy Stadium,India,England,India,England,field,T20,2017
1041615,2016-08-27,Central Broward Regional Park Stadium Turf Ground,India,West Indies,West Indies,India,field,T20,2016
1041617,2016-08-28,Central Broward Regional Park Stadium Turf Ground,India,West Indies,,India,field,T20,2016
1043989,2017-02-17,Melbourne Cricket Ground,Australia,New Zealand,Australia,New Zealand,field,T20,2017
1043991,2017-02-19,"Simonds Stadium, South Geelong",Australia,New Zealand,New Zealand,Australia,field,T20,2017
1043993,2017-02-22,Adelaide Oval,Australia,New Zealand,New Zealand,New Zealand,bat,T20,2017
1044211,2016-09-27,Sinhalese Sports Club Ground,Sri Lanka,Australia,Australia,Australia,field,T20,2016
1050217,2016-09-23,Dubai International Cricket Stadium,Pakistan,West Indies,Pakistan,Pakistan,field,T20,2016
1050219,2016-09-24,Dubai International Cricket Stadium,Pakistan,West Indies,Pakistan,West Indies,field,T20,2016
1050221,2016-09-27,Sheikh Zayed Stadium,Pakistan,West Indies,Pakistan,Pakistan,field,T20,2016
1050615,2016-11-21,Saxton Oval,New Zealand,Pakistan,New Zealand,New Zealand,bat,T20,2016
1065348,2016-12-04,Asian Institute of Technology Ground,India,Pakistan,India,India,bat,T20,2016
1072316,2018-02-03,Sydney Cricket Ground,New Zealand,Australia,Australia,Australia,field,T20,2018
